ProcessId,ProcessName,PackageName,EnvironmentName,FullyQualifiedName,CountExecuting,CountPending,CountSuspended,CountResumed,CountSuccessful,CountErrors,CountStopped,AverageDurationInSeconds,AveragePendingTimeInSeconds,TotalRows,EntityId
420,TiPlus-AutoUpdatePassword,TiPlus-AutoUpdatePassword,NULL,TIPlusAutoUpdateCredential,0,0,0,0,31,0,0,25,7859,213,420
415,TRB.ClaimReceived.Create,TRB.ClaimReceived.Create,NULL,TRB.Issuance/TRB.ClaimReceived,0,0,0,0,0,0,0,NULL,NULL,213,415
416,TRB.ClaimReceived.Import,TRB.ClaimReceived.Import,NULL,TRB.Issuance/TRB.ClaimReceived,0,0,0,0,0,0,0,NULL,NULL,213,416
337,TRB.ImportLC.Amend.GenerateDailyReport,TRB.ImportLC.GenerateDailyReport,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,24,0,0,56,52,213,337
327,TRB.ImportLC.CreateAmend,TRB.ImportLC.CreateAmend,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,1011,0,0,45,7,213,327
331,TRB.ImportLC.CreateBNR,TRB.ImportLC.CreateBNR,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,301,0,0,60,86,213,331
329,TRB.ImportLC.DownloadTIPLUSDokumenAmend,TRB.ImportLC.DownloadTIPLUSDokumenAmend,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,577,7,0,23,68,213,329
328,TRB.ImportLC.UpdateAmend,TRB.ImportLC.UpdateAmend,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,704,0,0,28,50,213,328
330,TRB.ImportLC.UploadDocumentToBRITRADEAmend,TRB.ImportLC.UploadDocumentToBRITRADEAmend,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,31,1,0,94,0,213,330
158,TRB.Issuance.CreateIssuance,TRB.Issuance.CreateIssuance,NULL,TRB.Issuance,0,0,0,0,1784,0,0,35,60,213,158
135,TRB.Issuance.GenerateDailyReport,TRB.Issuance.GenerateDailyReport,NULL,TRB.Issuance,0,0,0,0,21,0,0,12,24,213,135
159,TRB.Issuance.UpdateIssuance,TRB.Issuance.UpdateIssuance,NULL,TRB.Issuance,0,0,0,0,1487,0,0,30,64,213,159
